2023年1月,,,,,,
小區域有感地震,2023-01-03 05:46:44,120.34,23.10,3.7,17.3,臺南市政府東北方  20.0  公里 (位於臺南市山上區)(臺南市山上區)
小區域有感地震,2023-01-03 05:46:39,120.33,23.10,3.5,16.9,臺南市政府東北方  19.0  公里 (位於臺南市山上區)(臺南市山上區)
小區域有感地震,2023-01-03 05:19:18,121.54,23.78,4.3,17.5,花蓮縣政府南南西方  24.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2023-01-03 05:06:31,121.55,23.78,3.9,17.8,花蓮縣政府南南西方  24.3  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2023-01-02 14:29:13,121.66,24.06,4.2,29.9,花蓮縣政府北北東方  9.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023-02-28 03:30:58,121.37,23.18,4.1,18.7,臺東縣政府北北東方  52.6  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2023-02-26 14:22:31,121.61,24.33,3.4,25.1,花蓮縣政府北方  37.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023-02-26 00:03:17,121.31,22.46,4.6,16.1,臺東縣政府南南東方  36.0  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2023-02-25 14:06:41,121.35,23.19,3.2,17,臺東縣政府北北東方  52.2  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2023-02-23 07:55:14,121.73,24.00,3.5,3.6,花蓮縣政府東方  11.0  公里 (位於臺灣東部海域)(臺灣東部海域)
14,2023-02-23 05:18:44,121.74,23.99,4.6,6.9,花蓮縣政府東方  11.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-02-22 01:00:20,123.36,24.95,5.4,140.5,宜蘭縣政府東方  163.2  公里 (位於臺灣東部海域)(臺灣東部海域)
13,2023-02-21 19:01:42,121.66,23.52,4.8,31.3,花蓮縣政府南方  52.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-02-21 12:39:27,121.44,23.74,3.9,12.2,花蓮縣政府西南方  32.7  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2023-02-21 12:29:05,121.93,24.41,3.9,26.7,宜蘭縣政府南南東方  38.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-02-21 12:22:25,121.89,24.43,4.2,26,宜蘭縣政府南南東方  36.1  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2023-02-21 07:39:35,121.44,23.74,3.9,11.3,花蓮縣政府西南方  33.1  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
12,2023-02-19 07:32:33,121.63,24.67,4.6,54.6,宜蘭縣政府西南西方  14.7  公里 (位於宜蘭縣三星鄉)(宜蘭縣三星鄉)
11,2023-02-18 23:49:09,120.77,23.71,5.1,21.4,南投縣政府南南東方  22.8  公里 (位於南投縣鹿谷鄉)(南投縣鹿谷鄉)
小區域有感地震,2023-02-18 16:34:22,120.87,22.20,3.5,7.1,屏東縣政府東南方  66.2  公里 (位於屏東縣牡丹鄉)(屏東縣牡丹鄉)
小區域有感地震,2023-02-18 10:48:43,121.51,24.08,3.7,20.6,花蓮縣政府西北方  14.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023-02-17 15:07:55,121.76,24.27,3.4,21.6,花蓮縣政府北北東方  34.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023-02-17 09:35:06,121.48,23.95,3.9,18.4,花蓮縣政府西南西方  15.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
10,2023-02-17 09:22:50,121.47,23.94,4.6,18,花蓮縣政府西南西方  16.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023-02-17 09:08:20,121.56,25.16,3.3,4.7,臺北市政府北方  13.7  公里 (位於臺北市士林區)(臺北市士林區)
小區域有感地震,2023-02-16 08:30:18,120.57,22.89,4.1,9.1,高雄市政府東北方  40.2  公里 (位於高雄市美濃區)(高雄市美濃區)
小區域有感地震,2023-02-13 15:34:58,121.25,23.26,4,17.3,花蓮縣政府南南西方  89.4  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2023-02-13 05:51:16,121.17,23.10,4,14.5,臺東縣政府北方  38.2  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2023-02-12 04:40:32,121.76,24.27,3.5,21.3,花蓮縣政府北北東方  34.3  公里 (位於花蓮縣近海)(花蓮縣近海)
9,2023-02-11 19:35:49,121.53,23.43,5.2,34.2,花蓮縣政府南方  62.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023-02-11 05:18:39,121.37,24.75,3.9,6.4,桃園市政府南南東方  28.2  公里 (位於桃園市復興區)(桃園市復興區)
小區域有感地震,2023-02-10 23:12:00,121.39,22.12,3.9,24.1,臺東縣政府南南東方  74.1  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2023-02-10 08:07:58,121.93,24.59,3.7,13.6,宜蘭縣政府東南方  23.3  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2023-02-10 02:59:27,121.49,23.96,3.1,17.3,花蓮縣政府西南西方  13.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023-02-10 01:52:54,121.43,23.30,3.8,27,臺東縣政府北北東方  66.8  公里 (位於臺東縣長濱鄉)(臺東縣長濱鄉)
8,2023-02-08 18:49:59,121.55,23.44,5.6,36.7,花蓮縣政府南方  61.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023-02-08 12:18:40,121.99,23.81,4.3,39.4,花蓮縣政府東南東方  42.5  公里 (位於臺灣東部海域)(臺灣東部海域)
7,2023-02-08 05:48:48,121.83,24.75,4.5,79.1,宜蘭縣政府東北東方  7.0  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2023-02-07 06:12:55,121.76,24.27,4.1,21.8,花蓮縣政府北北東方  34.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023-02-07 04:26:04,121.75,24.27,3.3,21,花蓮縣政府北北東方  33.5  公里 (位於花蓮縣近海)(花蓮縣近海)
6,2023-02-07 04:20:17,121.76,24.27,5.1,22.1,花蓮縣政府北北東方  34.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023-02-06 14:37:28,121.29,23.44,3.6,11.7,花蓮縣政府南南西方  69.4  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2023-02-04 03:06:04,120.72,23.51,3.4,7.8,嘉義縣政府東方  43.8  公里 (位於嘉義縣阿里山鄉)(嘉義縣阿里山鄉)
小區域有感地震,2023-02-03 22:48:09,121.64,24.61,3.8,48.1,宜蘭縣政府西南方  18.2  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2023-02-02 13:54:53,120.55,23.10,3.7,12.6,臺南市政府東北東方  38.9  公里 (位於臺南市南化區)(臺南市南化區)
小區域有感地震,2023-02-01 16:03:56,121.78,24.25,3.4,14.6,花蓮縣政府北北東方  32.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023-03-31 20:36:04,120.70,23.17,3.6,9.1,高雄市政府東北方  72.7  公里 (位於高雄市桃源區)(高雄市桃源區)
小區域有感地震,2023-03-31 04:15:48,121.59,21.88,4.2,20.2,臺東縣政府南南東方  106.6  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2023-03-31 03:30:20,121.28,22.93,3.7,8.6,臺東縣政府東北方  23.5  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2023-03-30 14:44:30,121.30,23.47,3.8,12.8,花蓮縣政府南南西方  66.5  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2023-03-30 14:26:22,121.41,23.79,4,58.2,花蓮縣政府西南方  31.0  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2023-03-30 11:46:35,122.67,24.51,4.6,86.5,宜蘭縣政府東南東方  95.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-03-26 12:43:52,121.29,21.50,4.9,41.7,臺東縣政府南方  139.9  公里 (位於臺灣南部海域)(臺灣南部海域)
小區域有感地震,2023-03-25 09:05:27,121.59,24.63,4.1,60.5,宜蘭縣政府西南西方  21.1  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2023-03-25 04:24:29,121.44,23.88,3.2,19.4,花蓮縣政府西南西方  21.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023-03-25 01:22:02,121.29,23.63,3.9,7.2,花蓮縣政府西南方  52.2  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
24,2023-03-24 18:04:18,121.32,23.65,4.3,6.7,花蓮縣政府西南方  48.9  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2023-03-23 11:13:46,121.58,23.76,3.7,6.7,花蓮縣政府南方  25.4  公里 (位於花蓮縣近海)(花蓮縣近海)
23,2023-03-23 05:51:04,121.30,23.66,4.7,7.8,花蓮縣政府西南方  49.4  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
22,2023-03-22 23:43:05,121.31,23.65,4.7,6.5,花蓮縣政府西南方  49.2  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2023-03-22 06:15:21,121.08,22.91,3.9,12.3,臺東縣政府北北西方  19.0  公里 (位於臺東縣鹿野鄉)(臺東縣鹿野鄉)
小區域有感地震,2023-03-21 09:59:46,121.29,23.64,3.9,7.6,花蓮縣政府西南方  50.9  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2023-03-21 09:54:50,121.31,23.63,4,3.3,花蓮縣政府西南方  51.1  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
21,2023-03-21 09:46:12,121.29,23.64,4.9,7.1,花蓮縣政府西南方  50.8  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
20,2023-03-21 09:45:20,121.31,23.64,5.4,8.5,花蓮縣政府西南方  50.2  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2023-03-20 12:30:39,121.79,24.41,3.1,7.6,宜蘭縣政府南方  35.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
19,2023-03-19 13:12:16,121.05,22.82,4.2,10.6,臺東縣政府西北西方  12.8  公里 (位於臺東縣卑南鄉)(臺東縣卑南鄉)
18,2023-03-16 12:28:43,121.25,23.27,4.2,18,花蓮縣政府南南西方  88.1  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2023-03-16 02:35:20,121.82,24.53,3.3,10.1,宜蘭縣政府南南東方  23.1  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2023-03-15 17:31:54,120.86,24.46,3,7.3,苗栗縣政府南南東方  12.1  公里 (位於苗栗縣公館鄉)(苗栗縣公館鄉)
小區域有感地震,2023-03-13 21:58:12,121.88,23.47,4,29.6,花蓮縣政府南南東方  63.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-03-13 21:04:40,121.48,23.95,4,18.8,花蓮縣政府西南西方  15.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023-03-13 19:05:03,121.93,24.50,3.4,13.7,宜蘭縣政府東南方  30.7  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2023-03-13 14:38:22,120.65,23.14,3.5,9.3,高雄市政府北北東方  66.6  公里 (位於高雄市甲仙區)(高雄市甲仙區)
小區域有感地震,2023-03-13 09:41:56,121.16,23.09,3.7,13.6,臺東縣政府北方  37.5  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2023-03-13 08:11:51,121.99,24.81,4.3,6.3,宜蘭縣政府東北東方  24.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-03-13 05:19:43,121.99,24.81,3.7,6.2,宜蘭縣政府東北東方  24.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-03-11 21:17:55,121.57,23.65,4.4,31.3,花蓮縣政府南方  38.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023-03-11 09:16:50,121.46,23.78,3.7,10.6,花蓮縣政府西南方  28.3  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2023-03-11 04:21:53,120.97,24.07,3.4,24.3,南投縣政府東北東方  34.4  公里 (位於南投縣仁愛鄉)(南投縣仁愛鄉)
小區域有感地震,2023-03-10 03:45:10,121.55,23.46,4.2,34.7,花蓮縣政府南方  59.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023-03-09 17:38:39,121.71,23.74,4.1,46.6,花蓮縣政府南南東方  29.1  公里 (位於臺灣東部海域)(臺灣東部海域)
17,2023-03-06 22:34:02,121.84,24.53,4.1,10.5,宜蘭縣政府南南東方  23.3  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2023-03-06 21:27:15,121.75,24.00,3.8,7.8,花蓮縣政府東方  13.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-03-06 21:10:28,121.57,23.79,3.4,24.9,花蓮縣政府南南西方  22.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023-03-06 12:20:01,121.69,23.68,4.2,49.6,花蓮縣政府南南東方  35.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-03-06 08:31:52,121.87,24.18,3.9,24.4,花蓮縣政府東北方  32.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-03-05 15:19:53,121.84,24.53,3.6,9,宜蘭縣政府南南東方  23.4  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2023-03-04 01:57:31,122.15,24.05,4.8,18.6,花蓮縣政府東方  54.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2023-03-03 22:48:44,121.91,24.86,5,108.7,宜蘭縣政府東北方  20.2  公里 (位於宜蘭縣近海)(宜蘭縣近海)
16,2023-03-03 00:48:59,121.83,24.53,4.9,11.3,宜蘭縣政府南南東方  23.5  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
15,2023-03-02 19:25:23,121.83,24.53,4.2,10.5,宜蘭縣政府南南東方  23.3  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2023-03-02 18:40:04,121.32,23.49,3.5,8.9,花蓮縣政府南南西方  63.5  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
小區域有感地震,2023-03-02 15:01:48,121.35,23.07,4.1,19.5,臺東縣政府北北東方  40.2  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2023-04-30 15:52:45,121.16,23.10,3.5,13.6,臺東縣政府北方  38.0  公里 (位於臺東縣海端鄉)(臺東縣海端鄉)
小區域有感地震,2023-04-30 05:44:29,121.46,23.94,3.1,19.1,花蓮縣政府西南西方  17.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2023-04-27 16:15:20,121.53,23.47,4.3,36.6,花蓮縣政府南方  58.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2023-04-26 21:46:28,121.44,23.32,3.7,25.9,臺東縣政府北北東方  69.1  公里 (位於臺東縣長濱鄉)(臺東縣長濱鄉)
