排名,Spotify 2022 台灣最多串流收聽次數歌手
1,周杰倫
2,BTS 防彈少年團
3,告五人
4,Justin Bieber
5,周興哲
6,Taylor Swift
7,Ed Sheeran
8,鄧紫棋
9,茄子蛋
10,韋禮安
