UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
10404,2022-11-14,總計,30-49歲,101.70,98.20,0.80,87.40,0.00,0.00,0.00,0.00
10405,2022-11-14,總計,50-64歲,91.60,88.70,0.90,80.10,21.60,0.00,0.00,0.00
10406,2022-11-14,總計,65-74歲,90.80,88.40,1.20,81.60,44.40,6.60,0.00,0.00
10407,2022-11-14,總計,75歲以上,82.80,78.40,1.30,69.90,39.30,5.50,0.00,0.00
10654,2022-11-07,總計,全區,93.90,88.40,0.80,74.00,0.00,0.00,0.00,0.00
10655,2022-11-07,總計,6個月-4歲,43.80,17.10,0.00,0.00,0.00,0.00,0.00,0.00
10656,2022-11-07,總計,5-11歲,85.20,62.10,0.00,0.00,0.00,0.00,0.00,0.00
10657,2022-11-07,總計,12-17歲,94.90,87.60,0.40,63.70,0.00,0.00,0.00,0.00
10658,2022-11-07,總計,18-29歲,104.00,100.10,0.60,85.20,0.00,0.00,0.00,0.00
10659,2022-11-07,總計,30-49歲,101.70,98.20,0.80,87.40,0.00,0.00,0.00,0.00
10660,2022-11-07,總計,50-64歲,91.60,88.70,1.00,80.20,21.10,0.00,0.00,0.00
10661,2022-11-07,總計,65-74歲,91.20,88.80,1.20,81.90,44.40,6.40,0.00,0.00
10662,2022-11-07,總計,75歲以上,83.10,78.50,1.30,70.00,39.20,5.30,0.00,0.00
